itemnumber,barcode,isbn,biblionumber,title,author,datelastseen
1026239,BL84477,,474390,"Barney - Beach Party, 1 Disc",,2014-01-07
1026243,BL84607,,474391,"Nicholas Nickleby, 1 Disc",,2014-01-23
1026247,BL84478,,474392,"Barney - Please And Thank You, 1 Disc",,2014-02-02
1026249,BL84479,,474394,"Barney's Night Before Christmas, 1 Disc",,2014-01-31
1026276,BL84612,,474401,"Im Alright Jack, 1 Disc",,2014-02-02
1026285,BL84613,,474402,"Anne Of The Thousand Days, 1 Disc",,2013-12-29
1026325,BL84616,,474407,"Trip, 2 Discs ",,2014-01-25
1026359,BL84480,,474414,"The Story Of Tracy Beaker - Farewell From Me? - Series 5, 1 DVD",,2014-01-18
1026362,BL84481,,474415,"The Story of Tracy Beaker - Totally Me Series Four,1 Disc",,2014-01-19
1026376,BL84487,,474423,"Tweenies It's Christmas, 1 Disc",,2014-01-25
1026423,BL84620,,475011,"39 Steps , 1 Disc",,2014-01-02
1026466,BL84622,,475020,"Richard Hammond's Journey To The Centre Of The Planet,1 Disc",,2013-12-28
1026470,BL84623,,475023,"Top Gear: The Challenger 3, 2 Discs ",,2014-01-23
1026474,BL84624,,475025,"Terror on the Britannic, 1 Disc",,2014-02-02
1026515,BL84488,,475031,"Tweenies Jungle Adventure - Exclusive never seen on TV!,1 Disc",,2014-02-02
1026519,BL84489,,475033,"Tweenies Let's Play Carry Me DVD, 1 Disc",,2014-01-16
1026678,BL84490,,475045,"Harry And His Bucket Full Of Dinosaurs, 1 Disc ",,2013-12-26
1026679,BL84491,,475046,"Harry And His Bucketful Of Dinosaurs - Super Harry, 1 Disc",,2014-01-19
1026683,BL84494,,475048,"Tractor Tom - Baa Baa Tom Sheep, 1 Disc",,2014-01-11
1026686,BL84493,,475051,"Noddy: The Rainbow Chaser, 1 Disc ",,2014-01-31
1026690,BL84495,,475052,"Tractor Tom Hide and other stories, 1 Disc ",,2014-01-11
1026693,BL84496,,475053,"Tractor Tom - Hide And Seek, 1 Disc",,2014-01-29
1026701,BL84498,,475055,"Tractor Tom - The New Scarecrow And Other Stories, 1 Disc",,2014-01-11
1026808,BL84633,,475177,"Alan Bennett At The BBC, 4 Discs",,2014-01-18
1026822,BL84635,,475179,"Queen's Palaces with Fiona Bruce, 1 Disc",,2013-12-26
1026826,BL84636,,475180,"Torchwood: Series-1, 7 Discs",,2013-11-12
1026842,BL84639,,475183,"Robin Hood : Series-1, 5 Discs",,2014-01-18
