Item Type	Biblio Number	Barcode	Accession Date	Last Seen Date	Issue Date	Title	Author									
BK	80502	CH20922	2011-04-03	2011-07-28	2011-07-28	Difficult daughters	Manju Kapur									
BK	83085	CH12345	2011-04-03	2011-08-02	2011-08-02	Communicate to win	Richard Denny									
BK	81047	CH50022	2011-04-03	2011-08-02	2011-08-02	Motivate to Win: Learn How to Motivate Yourself and Others to Really Get Results	Richard Denny									
BK	91795	CH50604	2011-04-03	2011-08-06	2011-08-06	Scaredy Cat	Mark Billingham									
BK	84971	CH38843	2011-04-03	2011-08-06	2011-08-06	Ghost Girl	Torey L. Hayden									
BK	88083	CH47027	2011-04-03	2011-08-06	2011-08-06	The Mating Season										
BK	89364	CH48076	2011-04-03	2011-08-16	2011-08-16	Academic Vocabulary in Use										
BK	84139	CH44324	2011-04-03	2011-08-19	2011-08-19	The Persian boy	Mary Renault.									
BK	89058	CH38048	2011-04-03	2011-08-19	2011-08-19	The Medici Seal	Theresa Breslin									
BK	80583	CH46429	2011-04-03	2011-08-19	2011-08-19	The Last Concubine	Downer	 Lesley								
BK	87150	CH27124	2011-04-03	2011-08-20	2011-08-20	Home Organizing Planner : Clearing Your Clutter Step by Step	Starr	 Meryl								
BK	88093	CH34315	2011-04-03	2011-08-23	2011-08-23	Gardenning At Night	Diane Awerbuck									
BK	89017	CH52601	2011-04-03	2011-08-25	2011-08-25	100 Cases in Psychiatry	Barry Wright	 Dave Subodh	 Nisha Dogra							
BK	87807	CH38898	2011-04-03	2011-08-26	2011-08-26	Upgrade Your Brain:52 Brilliant Ideas For everyday Genius	John Middleton									
BK	87632	CH16646	2011-04-03	2011-08-26	2011-08-26	Comedies- Vol I	Shakespeare	 William								
BK	88892	CH2514	2011-04-03	2011-09-02	2011-09-02	Living with our genes : Why they matter more than you think										
BK	84012	CH25332	2011-04-03	2011-09-03	2011-09-03	Ten thousand miles without a cloud										
BK	88799	CH46952	2011-04-03	2011-09-03	2011-09-03	Stranger to History										
BK	85157	CH5452	2011-04-03	2011-09-06	2011-09-06	The Odessa File	Frederick Forsyth									
BK	91426	CH8135	2011-04-03	2011-09-17	2011-09-17	Linear And Digital Integrated Circuits	S P Eugene Xavier									
BK	87657	CH38989	2011-04-03	2011-09-20	2011-09-20	Find Your Power	Chris Johnstone									
BK	86403	CH28523	2011-04-03	2011-09-20	2011-09-20	A brief history of everything	Ken Wilber									
BK	87978	CH51972	2011-04-03	2011-09-20	2011-09-20	Living Your Best Life: The ten strategies forygang shares will help you reach the success and fulfilment you are destined for.'	Laura Berman Fortgang									
BK	91850	CH49310	2011-04-03	2011-09-21	2011-09-21	Two States: the story of my marriage										
BK	86691	CH9275	2011-04-03	2011-09-29	2011-09-29	Strategic marketing: planning and control	Graeme Drummond and John Ensor									
BK	91382	CH52005	2011-04-03	2011-09-29	2011-09-29	Driving Down Cost: How to manage and cut costs - intelligently	Andrew Wileman									
BK	89869	CH43111	2011-04-03	2011-10-01	2011-10-01	A greater evil	Natasha Cooper.									
BK	80267	CH35725	2011-04-03	2011-10-17	2011-10-17	English Pronunciation in Use ( Includes AC358	 AC 359	 AC 360	 AC 361 )	Mark	 Hancock					
BK	80004	CH21852	2011-04-03	2011-10-17	2011-10-17	Structuralism and Semiotics	Terence Hawkes									
BK	79999	CH21840	2011-04-03	2011-10-17	2011-10-17	Deconstruction	Christopher Norris									
BK	91856	CH49389	2011-04-03	2011-10-17	2011-10-17	Beginning Theory : An Introduction to Literary and Cultural Theory	Peter Barry									
BK	91624	CH52870	2011-04-03	2011-10-17	2011-10-17	Achieving Peak Performance in Tennis: A Practical Guide to Developing your Mind and Energy System for Winning	Helen K Emms									
BK	85063	CH39660	2011-04-03	2011-10-18	2011-10-18	Fundamentals of Management	Mike Smith									
